[0.015s] Invoking command in '/home/nikhil/nourish_ws/build/nourish_dcb': AMENT_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${CMAKE_PREFIX_PATH} LD_LIBRARY_PATH=/home/nikhil/nourish_ws/install/serial/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --build /home/nikhil/nourish_ws/build/nourish_dcb -- -j12 -l12
[0.066s] [35m[1mScanning dependencies of target nourish_dcb[0m
[0.080s] [ 50%] [32mBuilding CXX object CMakeFiles/nourish_dcb.dir/src/coms.cpp.o[0m
[0.366s] [01m[K/home/nikhil/nourish_ws/src/ros2-nourish-dcb/src/coms.cpp:40:13:[m[K [01;35m[Kwarning: [m[K‘[01m[Kbool remove_prefix_if_exists(std::__cxx11::string&, const string&)[m[K’ defined but not used [[01;35m[K-Wunused-function[m[K]
[0.366s]  static bool [01;35m[Kremove_prefix_if_exists[m[K(std::string &str, const std::string &prefix)
[0.367s]              [01;35m[K^~~~~~~~~~~~~~~~~~~~~~~[m[K
[0.429s] [100%] [32m[1mLinking CXX static library libnourish_dcb.a[0m
[0.464s] [100%] Built target nourish_dcb
[0.489s] Invoked command in '/home/nikhil/nourish_ws/build/nourish_dcb' returned '0': AMENT_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${CMAKE_PREFIX_PATH} LD_LIBRARY_PATH=/home/nikhil/nourish_ws/install/serial/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --build /home/nikhil/nourish_ws/build/nourish_dcb -- -j12 -l12
[0.509s] Invoking command in '/home/nikhil/nourish_ws/build/nourish_dcb': AMENT_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${CMAKE_PREFIX_PATH} LD_LIBRARY_PATH=/home/nikhil/nourish_ws/install/serial/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --build /home/nikhil/nourish_ws/build/nourish_dcb --target install -- -j12 -l12
[0.566s] [100%] Built target nourish_dcb
[0.592s] [36mInstall the project...[0m
[0.606s] -- Install configuration: ""
[0.606s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/environment/library_path.sh
[0.606s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/include
[0.607s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/include/nourish_dcb
[0.607s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/include/nourish_dcb/coms.hpp
[0.607s] -- Installing: /home/nikhil/nourish_ws/install/nourish_dcb/lib/libnourish_dcb.a
[0.607s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/ament_index/resource_index/package_run_dependencies/nourish_dcb
[0.607s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/ament_index/resource_index/parent_prefix_path/nourish_dcb
[0.607s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/environment/ament_prefix_path.sh
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/environment/path.sh
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/local_setup.bash
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/local_setup.sh
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/local_setup.zsh
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/ament_index/resource_index/packages/nourish_dcb
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/cmake/ament_cmake_export_include_directories-extras.cmake
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/cmake/ament_cmake_export_libraries-extras.cmake
[0.608s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/cmake/ament_cmake_export_dependencies-extras.cmake
[0.609s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/cmake/nourish_dcbConfig.cmake
[0.609s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/cmake/nourish_dcbConfig-version.cmake
[0.609s] -- Up-to-date: /home/nikhil/nourish_ws/install/nourish_dcb/share/nourish_dcb/package.xml
[0.613s] Invoked command in '/home/nikhil/nourish_ws/build/nourish_dcb' returned '0': AMENT_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/nikhil/nourish_ws/install/serial:${CMAKE_PREFIX_PATH} LD_LIBRARY_PATH=/home/nikhil/nourish_ws/install/serial/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --build /home/nikhil/nourish_ws/build/nourish_dcb --target install -- -j12 -l12
